,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Tonberries,Water,5,Dagger,Attack,100,Minerva Bustier (1/8),0,None,150,0,14001,321,Yes,None,99,Yeti's Cave (Monster-in-a-Box) [WoR],11000,No,1,150,0,"Reed Cloak, Saucer, Tortoise Shield, Impartisan (32/256)",None,None,Can't Run Away,Pugs,Attack (Always),Knife (800% damage),70,"Invisible, Petrify, Death, Doom, Critical, Berserk, Confusion Sleep, Stop",Minerva Bustier (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Imp, Image, Silence Sap, Slow",Fire,0,0,0
Tonberry,Water,13,Kiku-ichimonji,"Attack, Knife, Break",150,Tintinnabulum (1/8),1200,None,50,3333,8000,189,Yes,None,27,Yeti's Cave (Everywhere except Umaro's Room) [WoR],15500,No,10,180,50,"Reed Cloak, Saucer, Tortoise Shield, Impartisan (32/256)",None,Break,Easy,Pug,"Break (3/4), Knife (1/4)",Knife (800% damage),35,"Death, Doom, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",None,N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image","Fire, Lightning",0,0,0
Trapper,None,13,Fist,"Attack, Lv. 5 Death, Lv. 3 Confuse, Lv. 4 Flare",180,None,235,None,0,200,555,79,No,Float,19,Magitek Research Facility (Room after Espers; While escaping from Magitek Research Facility),80,No,10,135,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",Meteor Strike,Lv.3 Confuse,Easy,Trapper,"Lv. 3 Confuse (3/4), Lv. 5 Death (1/4)",Program 18 (bestows 'Reflect'),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Auto Crossbow (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Trillium,Water,13,Magical Brush,"Attack, Poison Touch",102,None,97,None,0,134,147,18,No,None,9,Mt. Kolts (Slopes) [WoB],100,No,10,170,0,"Remedy, Remedy, Remedy, Remedy (128/256)",Meteor Strike,Bio,Easy,Trilium,"Attack (3/4), Poison Touch (1/4)",Poison Touch (inflicts 'Poison'),30,Imp,"Potion (7/8), Remedy (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
Tumbleweed,Water,10,Fist,"Attack, Blinder, Lifeshaver",120,None,2554,None,0,1333,6200,173,No,None,55,North-Eastern Continent (Gras) [WoR],600,No,10,90,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Lifeshaver,Easy,TumbleWeed,"Lifeshaver (3/4), Blinder (1/4)",Blinder (inflicts 'Darkness'),30,"Darkness, Poison, Imp, Silence, Berserk, Confusion, Sleep",Saucer (1/8),N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical Image, Sap, Slow, Stop",Fire,0,0,0
Tunnel Armor,None,10,Fist,"Attack, Drill",29,Elixir (Always),0,None,0,250,1300,283,No,None,16,South Figaro Cave (After getting Celes in Locke's Scenario and heading to Narshe),900,No,15,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,TunnelArmr,"Attack (3/4), Drill (1/4)",Drill (200% damage),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Air Knife (7/8), Bioblaster (1/8)",N/A,Nothing,"Lightning, Water",1,0,0
Twinscythe,Ice,21,Rune Blade,"Attack, Drainsickle, Metal Cutter",125,Poison Rod (1/8),1753,None,20,726,2500,154,No,None,36,Cave on the Veldt [WoR],187,No,12,140,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Metal Cutter,Easy,Toe Cutter,"Metal Cutter (3/4), Drainsickle (1/4)",Drainsickle (steals HP),40,"Darkness, Poison, Imp, Petrify, Death, Silence, Berserk Confusion, Sleep",Poison Rod (7/8),N/A,"Zombie, MagiTek, Invisible, Doom, Critical, Image, Sap Slow, Stop","Fire, Wind",0,0,0
Typhon,Fire,13,Dragon Claws,"Attack, Hit",100,None,0,None,0,0,10000,300,No,None,26,Airship (During flight to Floating Continent),40000,No,10,55,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",Tornado,Can't Run Away,Chupon,"Attack (3/4), Hit (1/4)",Hit (inflicts 'Poison'),10,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Confusion, Sap",Dagger (7/8),N/A,"Darkness, Image, Silence, Berserk, Sleep, Slow, Stop","Ice, Water",1,0,0
Typhon #2,Fire,13,Dragon Claws,"Attack, Snort, Snort, Snort",190,None,0,None,0,0,50305,2,No,None,53,Coliseum,55530,No,10,190,0,"Angel Ring, Angel Ring, Safety Bit, Guard Bracelet (32/256)","Meteor Strike, Libra, Control",Tornado,Can't Run Away,Chupon,Attack (Always),Imp Oil (inflicts 'Poison'),99,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Confusion, Sap",None,N/A,None,"Ice, Water",0,0,0
Tyrannosaur,None,33,Dragon Claws,"Attack, Bite, Slow, Haste",125,Impartisan (1/8),8800,None,0,0,12770,172,Yes,None,57,North-Eastern Continent (Forest) [a.k.a. Dinsosaur Forest] [WoR],420,No,16,160,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Meteor,Hard,Tyranosaur,"Aero (3/4), Bite (1/4)",Bite (700% damage),55,"Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Stop",Reed Cloak (1/8),N/A,"Invisible, Sleep, Slow",Ice,0,0,0
Tzakmaqiel,None,10,Fist,"Attack, Esuna",105,"Green Cherry (7/8), White Cape (1/8)",1000,None,0,750,2000,194,Yes,None,33,Yeti's Cave (Everywhere except Umaro's Room) [WoR],100,No,10,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Imp,Hard,Kiwok,"Cyclonic (3/4), Imp (1/4)",Peck (inflicts 'Imp'),33,"Imp, Petrify, Critical, Silence",None,N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Image, Berserk, Confusion, Sap, Sleep, Slow, Stop",Ice,0,0,0
Ultima Buster,"Poison, Wind, Holy, Earth, Water",20,Fist,"Attack, Hit",75,None,0,None,0,0,55000,351,No,None,67,"Kefka's Tower (Prison Cells, 2nd Party) [WoR]",19000,Yes,10,70,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Atma,"Attack (3/4), Hit (1/4)",Hit (150% damage),63,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep, Stop","Blood Sword (7/8), Crystal Orb (1/8)",N/A,"Darkness, MagiTek, Image, Sap, Slow",None,1,0,0
Ultima Weapon,None,45,Fist,"Attack, Full Power",142,Elixir (Always),0,None,20,0,24000,307,No,Float,37,Floating Continent,5000,Yes,5,97,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,AtmaWeapon,"Attack (3/4), Full Power (1/4)",Full Power (200% damage),67,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep, Stop","Elixir (7/8), Ribbon (1/8)",N/A,"Darkness, MagiTek, Image, Sap, Slow",None,1,0,0
Ultros,Water,15,Magical Brush,"Attack, Ink",40,None,0,None,0,0,3000,282,No,None,13,Lethe River (After leaving Returner Hideout),640,No,3,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Ultros,"Attack (3/4), Ink (1/4)","Ink (standard damage, inflicts 'Darkness')",35,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep",White Cape (7/8),N/A,"Darkness, Image, Slow, Stop","Fire, Lightning",1,0,0
Ultros #2,Water,13,Magical Brush,"Attack, Ink",105,None,0,None,0,2,2550,289,No,None,19,Opera House (Stop Ultros from disrupting the Opera),500,No,4,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Ultros,"Attack (3/4), Ink (1/4)","Ink (standard damage, inflicts 'Darkness')",40,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep",White Cape (7/8),N/A,"Darkness, Image, Slow, Stop","Fire, Lightning",0,0,0
Ultros #3,Water,22,Magical Brush,"Attack, Ink",95,None,0,None,0,3,22000,299,No,Float,25,Esper Caves,750,No,7,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Ultros,Tentacle (Always),"Ink (standard damage, inflicts 'Darkness')",35,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep",White Cape (7/8),N/A,"Darkness, Image, Slow, Stop","Fire, Lightning",0,0,0
Ultros #4,Water,10,Magical Brush,"Attack, Octopus Ink",20,None,0,None,0,0,17000,301,No,None,26,Airship (During flight to Floating Continent),8000,No,3,10,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Ultros,"Attack (3/4), Octopus Ink (1/4)","Octopus Ink (standard damage, inflicts 'Darkness')",30,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep Stop",Dried Meat (7/8),N/A,"Darkness, Image, Slow","Fire, Poison",0,0,0
Unseelie,None,15,Dagger,"Attack, Mythril Wrench, Traveler",100,None,53,None,0,256,132,15,No,Haste,8,Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB],100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Shell,Easy,GreaseMonk,Mythril Wrench (Always),Mythril Wrench (150% damage),35,None,"Potion (7/8), Buckler (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Urok,None,13,Fist,"Attack, Digestive Fluid, Magnitude 8",45,None,71,None,0,120,122,13,No,None,7,South Figaro Cave (Only Before Locke's Scenario) [WoB],0,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Digestive Fluid,Easy,Crawly,"Attack (3/4), Digestive Fluid (1/4)",Digestive Fluid (inflicts 'Sap'),30,None,"Potion (7/8), Remedy (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Valeor,None,13,Dagger,"Attack, Nickel Wrench",55,None,117,None,0,112,180,30,No,None,11,Narshe Mines (Terra/Edgar/Banon Scenario) [WoB],25,No,10,135,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Stone,Easy,1st Class,"Attack (3/4), Nickel Wrench (1/4)",Nickel Wrench (150% damage),30,None,Potion (Always),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Valigarmanda,Ice,19,Fist,"Attack, Hit",254,None,0,"Lightning, Poison, Wind, Holy, Earth, Water",0,0,30000,320,No,Float,62,Narshe Cliffs [WoR],50000,No,4,70,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Tritoch,"Attack (3/4), Hit (1/4)",Hit (150% damage),40,"Poison, Invisible, Imp, Petrify, Death, Doom, Critical Silence, Berserk, Confusion, Sleep, Slow, Stop",None,N/A,"Darkness, Zombie, MagiTek, Image, Sap",Fire,1,0,0
Valigarmanda #2,None,13,Partisan,"Attack, Hit",100,None,0,None,0,0,12000,9,No,None,19,Narshe (After Imperial Raid),12000,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Tritoch,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,None,None,0,0,0
Vampire Thorn,Water,13,Magical Brush,"Attack, Life Drain, Bio, Death",254,Smoke Bomb (1/8),510,None,0,896,12,127,No,None,26,"Serpent Trench (Grass, Wasteland [North]) [WoR]",400,Yes,10,254,0,"Remedy, Remedy, Remedy, Remedy (64/256)",Meteor Strike,Bio,Easy,Bloompire,"Bio (3/4), Life Drain (1/4)",Life Drain (inflicts 'Zombie'),35,"Darkness, Zombie, Poison, Imp, Petrify, Critical, Silence Berserk, Sleep",Echo Screen (1/8),Undead,"MagiTek, Invisible, Death, Doom, Image, Confusion, Sap Slow, Stop",Fire,0,0,0
Vargas,None,13,Fist,"Attack, Doom Fist",85,None,0,None,0,0,11600,280,No,None,12,Base of Mt. Kolts,220,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Vargas,"Attack (3/4), Doom Fist (1/4)","Doom Fist (unblockable; standard damage, inflicts 'Doom')",30,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep","Potion (7/8), Mythril Claws (1/8)",Humanoid,"Darkness, Slow, Stop",Poison,1,0,0
Vasegiatta,None,13,Ice Rod,"Attack, Talon Grab, Cyclonic, Aero",115,None,1994,None,0,1221,3615,196,No,Float,42,Around Thamasa (Grass & Forest) [WoR],233,No,10,145,0,"Potion, Potion, Potion, Growth Egg (32/256)",Meteor Strike,Cyclonic,Easy,Harpy,"Cyclonic (3/4), Talon Grab (1/4)",Talon Grab (200% damage),35,"Imp, Petrify, Death, Doom, Sleep",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Silence, Berserk, Confusion, Sap, Slow, Stop",None,0,0,0
Vector Chimera,None,22,Trident,"Attack, Gigavolt, Aqua Breath, Blaze",110,None,2900,None,30,900,7500,254,No,None,57,Kefka's Tower (2nd Party Dragon's Den (Dragon Temple) [WoR],880,No,9,150,30,"Potion, Potion, Potion, Thunder Shield (32/256)",None,Aqua Breath,Hard,Vectagoyle,"Aqua Breath (3/4), Gigavolt (1/4)",Counterattack (200% damage),37,"Darkness, Imp, Petrify, Death, Doom, Critical, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",Swordbreaker (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image",None,0,0,0
Vector Hound,None,14,Dragon Claws,"Attack, Bite",80,None,128,None,0,83,166,26,No,Haste,11,Hidden passage revealed in Locke's Scenario while trying to get out of South Figaro [WoB & WoR],10,No,10,150,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Bite,Easy,Vector Pup,"Attack (3/4), Bite (1/4)",Bite (150% damage),25,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Vector Lythos,None,13,Fist,"Attack, Bite, White Wind",110,None,1400,None,0,350,2800,245,No,None,59,Kefka's Tower (All Parties,180,No,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (64/256)",None,White Wind,Hard,Vectaur,"White Wind (3/4), Bite (1/4)",Bite (150% damage),30,"Darkness, Poison, Death, Doom, Critical, Berserk, Confusion Sleep, Slow, Stop",Fuma Shuriken (1/8),N/A,"Zombie, MagiTek, Invisible, Imp, Petrify, Image, Silence Sap","Ice, Water",0,0,0
Veil Dancer,None,13,Dagger,"Attack, Fira, Blizzara, Thundara",115,None,224,None,0,296,392,65,No,None,15,Zozo (Inside) [WoB & WoR],120,No,10,145,0,"Potion, Potion, Potion, Miracle Shoes (32/256)",None,Blizzara,Easy,SlamDancer,"Blizzara (3/4), Fira (1/4)",Mysterious Dance (inflicts 'Sleep'),35,"Poison, Imp, Berserk, Confusion","Hi-Potion (7/8), Thief's Knife (1/8)",Humanoid,"Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Sap, Sleep, Slow, Stop",Poison,0,0,0
Venobennu,None,16,Ice Rod,"Attack, Featherdust, Poison",125,Phoenix Down (1/8),485,None,0,525,860,103,No,None,24,Esper Caves (Slopes),82,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Poison,Easy,Abolisher,"Poison (3/4), Featherdust (1/4)",Featherdust (inflicts 'Poison'),35,"Imp, Petrify, Silence, Sleep",Antidote (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Critical, Image, Berserk, Confusion, Sap, Slow, Stop",None,0,0,0
Vilia,None,22,Sasuke,"Attack, Firaga, Blizzaga, Thundaga",100,None,5000,None,10,3333,23000,264,No,None,81,Dragon's Den [WoR],1800,Yes,14,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Attack (3/4), Entice (1/4)",Entice (inflicts 'Confusion'),47,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop",X-Ether (1/8),Humanoid,Slow,Poison,0,1,1
Visage,None,63,Partisan,"Attack, Sapping Strike",140,None,0,Earth,10,0,30000,358,No,None,74,Kefka's Tower (Final Battle; 1st Tier) [WoR],10000,No,12,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,Face,"Attack (3/4), Sapping Strike (1/4)",Sapping Strike (inflicts 'Sap'),44,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",Elixir (7/8),Humanoid,"Darkness, Doom",Fire,1,0,0
Vulture,None,13,Ice Rod,"Attack, Eye Gouge, Shamshir",100,Phoenix Down (1/8),160,None,0,485,412,57,No,Float,15,Grass/Forest around Kohlingen,60,No,10,155,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,Shamshir,Easy,Vulture,"Shamshir (3/4), Eye Gouge (1/4)",Eye Gouge (inflicts 'Darkness'),30,Imp,"Hi-Potion (7/8), Phoenix Down (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Wind,0,0,0
Warlock,None,10,Ice Rod,"Attack, Magic Drain, Holy",180,Teleport Stone (1/8),970,None,0,333,1300,231,No,None,38,Ebot's Rock (Everywhere EXCEPT in Rooms with Coral Chests) [WoR],1250,Yes,10,225,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Holy,Easy,Warlock,"Holy (3/4), Magic Drain (1/4)",Magic Drain (steals MP),39,"Imp, Petrify, Death, Doom, Silence, Berserk, Confusion",Teleport Stone (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Sap, Sleep, Slow, Stop","Lightning, Poison",0,0,0
Wartpuck,None,15,Fist,"Attack, Yawn, Self-Destruct",120,None,1595,None,0,1169,3559,201,No,None,44,Zone Eater's Belly (Everywhere) [WoR],330,No,11,160,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Rasp,Easy,Wart Puck,"Attack (3/4), Yawn (1/4)",Yawn (inflicts 'Sleep'),35,"Poison, Imp, Death, Doom, Critical, Berserk, Confusion Slow, Stop","Chain Flail (7/8), Dried Meat (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Petrify, Image, Silence Sap, Sleep",Fire,0,0,0
Weredragon,None,10,Dragon Claws,"Attack, Venom Claw, Death",105,None,953,None,0,731,3000,208,No,Poison,38,Cyan's Dream/Dreamscape (First Area) [WoR],300,No,3,50,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Death,Hard,Allosaurus,"Death (3/4), Venom Claw (1/4)",Venom Claw (inflicts 'Poison'),15,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",None,N/A,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Wererat,Poison,13,Fist,"Attack, Bite",100,Potion (1/8),21,None,0,22,24,4,Yes,None,4,Narshe Mines (Biggs/Wedge/Terra raid OR Terra/Edgar/Bannon Scenario) [WoB],0,No,10,150,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Poison,Easy,Were-Rat,"Attack (3/4), Bite (1/4)",Bite (150% damage),30,"Darkness, Sleep",Potion (Always),N/A,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Fire,0,0,0
Wild Rat,Poison,10,Fist,"Attack, Scratch",85,None,135,None,0,135,160,31,No,None,12,Narshe Mines (Terra/Edgar/Banon Scenario) [WoB],10,No,10,100,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Scratch,Easy,Wild Rat,"Attack (3/4), Scratch (1/4)",Scratch (150% damage),30,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Wizard,None,13,Ice Rod,"Attack, Rasp, Gravity, Stop",50,Flame Rod (1/8),587,None,0,388,1677,183,No,None,32,"Narshe Mines (West Mines, except 1st Cave) [WoR]",200,No,10,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Gravity,Easy,Wizard,"Gravity (3/4), Rasp (1/4)",Fallen Footsteps (inflicts 'Zombie'),33,"Darkness, Imp, Petrify, Death, Doom, Berserk, Confusion","Thunder Rod (7/8), Ice Rod (1/8)",Humanoid,"Zombie, Poison, MagiTek, Invisible, Critical, Image, Silence Sap, Sleep, Slow, Stop","Lightning, Poison",0,0,0
Wrexsoul,"Fire, Holy",27,Fist,"Attack, Doom Strike",70,Guard Bracelet (Always),0,None,0,0,23066,326,No,None,53,Cyan's Dream/Dreamscape (Doma Castle) [WoR],5066,No,5,220,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Wrexsoul,"Attack (3/4), Doom Strike (1/4)",Doom Strike (inflicts 'Doom'),40,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",Memento Ring (1/8),N/A,"Darkness, Image",Ice,1,0,0
Wyvern,None,15,Dragon Claws,"Attack, Wing Sap, Cyclonic",140,None,484,None,0,434,892,71,No,None,18,Grass on Southern Continent (Everywhere),95,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Cyclonic,Easy,Wyvern,"Cyclonic (3/4), Wing Sap (1/4)",Wing Sap (inflicts 'Sap'),30,Imp,"Potion (7/8), Dragoon Boots (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Ice,0,0,0
Yeti,Ice,25,Fist,"Attack, Tackle",100,None,0,None,0,10,17200,322,No,None,33,Yeti's Cave (Umaro's Room) [WoR],6990,No,11,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Umaro,"Attack (3/4), Tackle (1/4)",Tackle (300% damage),45,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Confusion, Sap, Stop",None,Humanoid,"Darkness, Poison, Image, Berserk, Sleep, Slow","Fire, Poison",1,0,0
Ymir (Head),None,22,Fist,"Attack, Slime",100,Hi-Potion (Always),0,None,0,0,1600,277,No,None,6,"Narshe Mines (Biggs, Wedge, Terra raid)",1000,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Head,"Attack (3/4), Slime (1/4)",Slime (inflicts 'Slow'),45,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",None,N/A,"Slow, Stop",None,1,0,0
